block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,2.414546,3984,0.000000,0.000000,0.024686,0.000000,
1,vector0,NA,NA,3.462424,5713,0.000000,0.000000,0.017215,0.000000,
2,vector0,NA,NA,2.716970,4483,0.000000,0.000000,0.021938,0.000000,
3,vector0,NA,NA,4.813940,7943,0.000000,0.000000,0.012382,0.000000,
4,vector0,NA,NA,4.483030,7397,0.000000,0.000000,0.013296,0.000000,
5,vector0,NA,NA,4.626060,7633,0.000000,0.000000,0.012885,0.000000,
6,vector0,NA,NA,4.732727,7809,0.000000,0.000000,0.012594,0.000000,
7,vector0,NA,NA,5.008485,8264,0.000000,0.000000,0.011901,0.000000,
8,vector0,NA,NA,4.956364,8178,0.000000,0.000000,0.012026,0.000000,
9,vector0,NA,NA,3.133940,5171,0.000000,0.000000,0.019019,0.000000,
10,vector0,NA,NA,4.938788,8149,0.000000,0.000000,0.012069,0.000000,
11,vector0,NA,NA,2.852727,4707,0.000000,0.000000,0.020894,0.000000,
12,vector0,NA,NA,2.946667,4862,0.000000,0.000000,0.020228,0.000000,
13,vector0,NA,NA,3.454545,5700,0.000000,0.000000,0.017254,0.000000,
14,vector0,NA,NA,4.129091,6813,0.000000,0.000000,0.014435,0.000000,
15,vector0,NA,NA,3.443636,5682,0.000000,0.000000,0.017309,0.000000,
16,vector0,NA,NA,3.640000,6006,0.000000,0.000000,0.016375,0.000000,
17,vector0,NA,NA,3.626061,5983,0.000000,0.000000,0.016438,0.000000,
18,vector0,NA,NA,4.158788,6862,0.000000,0.000000,0.014332,0.000000,
19,vector0,NA,NA,3.744242,6178,0.000000,0.000000,0.015919,0.000000,
20,vector0,NA,NA,3.900606,6436,0.000000,0.000000,0.015281,0.000000,
21,vector0,NA,NA,4.112121,6785,0.000000,0.000000,0.014495,0.000000,
22,vector0,NA,NA,3.909091,6450,0.000000,0.000000,0.015248,0.000000,
23,vector0,NA,NA,3.644243,6013,0.000000,0.000000,0.016356,0.000000,
24,vector0,NA,NA,3.629091,5988,0.000000,0.000000,0.016424,0.000000,
25,vector0,NA,NA,4.009697,6616,0.000000,0.000000,0.014865,0.000000,
26,vector0,NA,NA,3.992727,6588,0.000000,0.000000,0.014928,0.000000,
27,vector0,NA,NA,4.024242,6640,0.000000,0.000000,0.014811,0.000000,
28,vector0,NA,NA,3.696970,6100,0.000000,0.000000,0.016123,0.000000,
29,vector0,NA,NA,4.099394,6764,0.000000,0.000000,0.014540,0.000000,
30,vector0,NA,NA,4.143030,6836,0.000000,0.000000,0.014387,0.000000,
31,vector0,NA,NA,4.423030,7298,0.000000,0.000000,0.013476,0.000000,
32,vector0,NA,NA,4.106667,6776,0.000000,0.000000,0.014514,0.000000,
33,vector0,NA,NA,4.417576,7289,0.000000,0.000000,0.013493,0.000000,
34,vector0,NA,NA,3.924242,6475,0.000000,0.000000,0.015189,0.000000,
35,vector0,NA,NA,4.738788,7819,0.000000,0.000000,0.012578,0.000000,
36,vector0,NA,NA,4.275152,7054,0.000000,0.000000,0.013942,0.000000,
37,vector0,NA,NA,4.432727,7314,0.000000,0.000000,0.013446,0.000000,
38,vector0,NA,NA,4.120606,6799,0.000000,0.000000,0.014465,0.000000,
39,vector0,NA,NA,4.513333,7447,0.000000,0.000000,0.013206,0.000000,
